prix	livraison	etat	retour	memoire	console	manette	cable	nbjeu	edition
99.9	4.9	Occasion	Oui	0	Saturn	oui	oui	0.0	non
780.0	19.9	Neuf	Oui	0	PS5 blu-ray	NaN	oui	0.0	non
65.0	5.0	Occasion	Non	0	SNES	NaN	oui	0.0	non
45.0	10.0	Reconditionné par le vendeur	Oui	0	Mega Drive	oui	oui	0.0	non
150.0	15.0	Occasion	Non	0	Wii U	NaN	oui	10.0	non
99.0	12.0	Occasion	Non	0	PS1	oui	oui	0.0	non
367.9	0.0	Neuf	Oui	0	Switch OLED	oui	oui	0.0	non
49.0	5.9	Occasion	Oui	0	Wii	oui	oui	0.0	non
750.0	30.0	Neuf	Non	0	PS5 blu-ray	NaN	oui	0.0	non
30.0	5.0	Occasion	Oui	0	Wii	oui	oui	0.0	non
150.0	0.0	Occasion	Non	0	Switch lite	NaN	oui	0.0	non
90.0	0.0	Reconditionné par le vendeur	Oui	0	Wii U	oui	oui	0.0	non
39.0	6.9	Occasion	Oui	0	PS1	oui	oui	0.0	non
45.0	5.0	Occasion	Oui	0	Mega Drive	NaN	oui	0.0	non
265.0	4.55	Occasion	Non	0	Switch	oui	oui	0.0	non
200.0	15.0	Occasion	Non	0	Game cube	oui	oui	0.0	non
69.99	5.0	Occasion	Oui	0	Game cube	NaN	oui	1.0	non
33.99	0.0	Occasion	Non	0	Mega Drive	non	non	0.0	non
300.0	0.0	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
95.0	15.0	Occasion	Non	0	PS2	oui	oui	0.0	non
85.0	9.0	Occasion	Non	0	Wii	oui	oui	0.0	non
50.0	4.9	Occasion	Non	0	SNES	NaN	oui	0.0	non
185.0	15.0	Occasion	Non	0	PS2	oui	oui	0.0	non
200.0	15.0	Occasion	Non	1000.0	PS4 slim	NaN	oui	0.0	non
119.0	0.0	Occasion	Oui	0	3DS	NaN	oui	0.0	non
60.0	7.0	Occasion	Oui	0	Xbox	oui	oui	0.0	non
95.0	13.9	Occasion	Non	0	Wii U	NaN	oui	0.0	non
87.73	0.0	Reconditionné par le vendeur	Oui	0	Nintendo Mini	NaN	oui	0.0	non
495.0	16.5	Occasion	Oui	0	Master System	NaN	oui	0.0	non
120.0	12.0	Occasion	Non	0	3DS XL	NaN	oui	1.0	non
10.0	4.2	Occasion	Oui	0	DSlite	NaN	oui	0.0	non
160.0	9.9	Occasion	Oui	0	PS2	oui	oui	0.0	oui
127.0	8.95	Reconditionné par le vendeur	Non	0	GBA SP	NaN	oui	0.0	non
32.5	4.5	Occasion	Non	0	PS1	oui	oui	0.0	non
75.0	6.5	Occasion	Non	0	PS1	oui	oui	0.0	non
49.9	0.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
700.0	0.0	Neuf	Non	0	Xbox Series X	NaN	oui	0.0	non
135.0	8.5	Occasion	Non	0	GBA	NaN	oui	0.0	non
179.0	8.99	Reconditionné par le vendeur	Oui	0	Game Gear	NaN	oui	0.0	non
1300.0	8.0	Neuf	Non	0	PS5 blu-ray	NaN	oui	2.0	non
75.0	5.0	Occasion	Non	0	PSP	NaN	oui	9.0	non
150.0	12.0	Neuf	Non	0	3DS XL	NaN	oui	1.0	non
750.0	29.99	Neuf	Non	0	PS5 digital	NaN	oui	0.0	non
169.99	0.0	Occasion	Non	0	NES	oui	oui	0.0	non
600.0	16.0	Neuf	Non	0	Xbox Series X	oui	oui	0.0	non
28.0	6.5	Occasion	Non	0	DSi	NaN	oui	0.0	non
399.0	8.0	Neuf	Non	0	Wii	NaN	oui	3.0	non
150.0	0.0	Occasion	Non	0	Wii U	oui	oui	16.0	non
32.0	5.0	Occasion	Oui	0	DSi	NaN	oui	0.0	non
90.0	14.1	Occasion	Non	0	Master System II	NaN	oui	6.0	non
240.0	0.0	Neuf	Non	500.0	PS4 slim	NaN	oui	0.0	non
201.6	0.0	Occasion	Non	0	Wii U	NaN	oui	11.0	non
69.99	6.3	Occasion	Non	12.0	PS3 ultra slim	oui	oui	6.0	non
65.0	7.0	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
260.0	6.7	Occasion	Oui	0	SNES	NaN	oui	0.0	oui
49.0	0.0	Occasion	Oui	0	PS2	oui	oui	2.0	non
249.0	8.0	Occasion	Non	0	Wii	NaN	oui	2.0	non
59.0	0.0	Occasion	Oui	0	Wii	NaN	oui	0.0	non
64.99	5.9	Reconditionné par le vendeur	Non	0	3DS XL	NaN	oui	0.0	non
60.0	5.0	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
169.0	7.9	Occasion	Oui	0	Switch lite	NaN	oui	0.0	non
169.9	0.0	Occasion	Oui	0	NES	oui	oui	0.0	non
599.0	0.0	Neuf	Non	0	3DS XL	NaN	oui	0.0	oui
50.0	5.0	Occasion	Oui	0	DSi XL	NaN	oui	0.0	non
755.0	12.0	Neuf	Oui	0	PS5 digital	NaN	oui	0.0	non
219.9	13.5	Occasion	Non	0	N64	oui	oui	0.0	non
380.0	10.0	Neuf	Oui	0	Switch	NaN	oui	0.0	oui
34.99	0.0	Occasion	Non	0	Wii	non	oui	0.0	non
69.9	5.9	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
139.99	0.0	Occasion	Non	0	Mega Drive	oui	oui	0.0	non
179.0	0.0	Reconditionné par le vendeur	Oui	0	GBA SP	NaN	oui	0.0	non
50.0	4.9	Occasion	Non	0	SNES	NaN	oui	0.0	non
269.9	4.9	Occasion	Oui	0	Game Boy	oui	oui	0.0	non
230.0	15.0	Occasion	Oui	0	Wii U	NaN	oui	0.0	oui
649.0	0.0	Neuf	Non	0	Xbox Series X	NaN	oui	0.0	non
179.0	6.9	Occasion	Non	0	Saturn	oui	oui	0.0	non
450.0	15.0	Occasion	Oui	0	PS1	NaN	oui	0.0	non
100.0	0.0	Occasion	Non	500.0	Xbox One	oui	oui	0.0	non
200.0	0.0	Neuf	Non	0	Nintendo Mini	oui	oui	0.0	non
250.0	15.0	Occasion	Non	0	Game Boy	NaN	oui	8.0	non
98.0	0.0	Occasion	Oui	0	Wii	oui	oui	0.0	non
75.0	2.5	Occasion	Non	250.0	Xbox 360	oui	oui	0.0	non
99.0	3.95	Occasion	Oui	0	PS Vita	NaN	oui	1.0	non
89.9	0.0	Occasion	Non	120.0	PS3 slim	NaN	oui	0.0	non
79.0	5.5	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
37.99	6.0	Occasion	Non	0	Wii	oui	oui	2.0	non
209.0	6.9	Occasion	Non	0	Saturn	oui	oui	0.0	non
69.0	10.0	Occasion	Oui	0	Xbox	oui	oui	0.0	non
100.0	6.0	Reconditionné par le vendeur	Non	0	Game Boy	NaN	oui	0.0	non
260.0	0.0	Occasion	Non	0	SNES	NaN	oui	0.0	non
90.0	7.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
120.0	5.42	Occasion	Non	0	Game cube	oui	oui	0.0	non
55.0	5.0	Occasion	Oui	60.0	PS3	oui	oui	1.0	non
225.0	11.0	Reconditionné par le vendeur	Oui	0	Dreamcast	NaN	oui	0.0	non
706.06	0.0	Neuf	Oui	0	Xbox Series X	oui	oui	0.0	non
450.0	4.95	Occasion	Non	0	Switch	NaN	oui	1.0	oui
62.0	6.3	Occasion	Non	0	Wii	NaN	oui	0.0	non
399.95	0.0	Occasion	Non	0	Game cube	oui	oui	0.0	non
35.5	4.5	Occasion	Non	0	PS2	oui	oui	0.0	non
45.0	6.0	Occasion	Non	0	Game cube	oui	oui	0.0	non
249.9	0.0	Occasion	Oui	0	NES	oui	oui	0.0	non
500.0	15.0	Neuf	Non	500.0	PS3	NaN	oui	0.0	non
1000.0	0.0	Neuf	Non	0	PS5 blu-ray	oui	oui	0.0	non
45.0	15.0	Occasion	Non	0	Wii	NaN	oui	0.0	non
40.0	3.6	Reconditionné par le vendeur	Non	0	GBA	NaN	oui	0.0	non
159.99	0.0	Reconditionné par le vendeur	Non	0	3DS XL	NaN	oui	0.0	non
170.0	5.0	Occasion	Non	0	SNES	NaN	oui	0.0	non
49.99	5.9	Occasion	Non	0	DSi	oui	oui	0.0	non
750.0	30.0	Occasion	Non	0	PS5 digital	NaN	oui	0.0	non
30.0	5.0	Pour pièces détachées/ne fonctionne pas	Oui	500.0	Xbox One	NaN	oui	0.0	non
64.9	0.0	Occasion	Oui	0	Game cube	oui	oui	0.0	non
28.43	6.0	Occasion	Oui	0	Wii	oui	oui	0.0	non
210.0	18.0	Occasion	Oui	0	NES	oui	oui	0.0	non
120.0	4.5	Occasion	Oui	0	PSP	NaN	oui	0.0	oui
999.0	29.99	Neuf	Oui	0	PS5 digital	NaN	oui	0.0	non
150.0	10.0	Occasion	Non	0	GBA	NaN	oui	0.0	non
50.0	0.0	Occasion	Non	0	Wii	oui	oui	0.0	non
129.9	0.0	Occasion	Oui	0	Xbox	oui	oui	0.0	non
144.9	20.05	Occasion	Non	0	PS2 slim	oui	oui	23.0	non
200.0	14.0	Occasion	Oui	500.0	PS4	oui	oui	2.0	non
252.0	0.0	Occasion	Oui	0	Game Gear	oui	oui	1.0	non
